City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Wuwei,CN,37.9281,102.6414,61.74,19,88,7.31,overcast clouds
158,Popondetta,PG,-8.7537,148.2534,84.63,70,30,4.81,scattered clouds
159,Fortuna,US,40.5982,-124.1573,46.0,93,75,8.05,broken clouds
160,Dikson,RU,73.5069,80.5464,30.9,93,100,24.18,overcast clouds
161,Krasnoselkup,RU,65.7,82.4667,32.52,100,21,9.64,few clouds
162,Jamestown,US,42.097,-79.2353,57.99,94,90,11.5,light rain
163,Kodiak,US,57.79,-152.4072,33.8,80,90,4.61,overcast clouds
164,Los Andes,CL,-32.8337,-70.5983,51.01,99,0,1.01,clear sky
165,Lorengau,PG,-2.0226,147.2712,83.66,77,100,16.06,overcast clouds
166,Craig,US,40.5153,-107.5464,39.2,38,1,3.44,clear sky
167,Juneau,US,58.3019,-134.4197,26.6,80,90,4.61,light snow
168,Haines Junction,CA,60.7522,-137.5108,-2.2,50,82,3.44,broken clouds
169,Aljezur,PT,37.3191,-8.8033,57.69,92,46,4.7,scattered clouds
170,Faaone,PF,-17.6667,-149.3,82.4,69,40,2.3,scattered clouds
171,Tazmalt,DZ,36.3868,4.3989,60.96,56,100,5.08,overcast clouds
172,Anadyr,RU,64.75,177.4833,5.0,72,100,26.84,snow
173,Arraial Do Cabo,BR,-22.9661,-42.0278,73.56,73,0,14.34,clear sky
174,Talnakh,RU,69.4865,88.3972,29.44,88,69,5.35,broken clouds
175,Puerto Ayora,EC,-0.7393,-90.3518,74.8,90,78,2.33,broken clouds
176,Fairbanks,US,64.8378,-147.7164,10.4,33,75,3.44,broken clouds
177,Ancud,CL,-41.8697,-73.8203,53.01,100,90,14.97,light intensity drizzle
178,Cherskiy,RU,68.75,161.3,-1.52,87,90,4.21,overcast clouds
179,Nadym,RU,65.5333,72.5167,33.46,99,72,15.46,broken clouds
180,Kargopol,RU,61.5071,38.9456,36.5,78,33,10.22,scattered clouds
181,Sorland,NO,67.667,12.6934,36.54,82,100,22.15,overcast clouds
182,Gorontalo,ID,0.5412,123.0595,84.88,74,45,2.35,scattered clouds
183,Riyadh,SA,24.6877,46.7219,86.0,9,0,12.66,clear sky
184,Tabou,CI,4.423,-7.3528,79.2,86,74,6.42,broken clouds
185,Melfi,IT,40.9965,15.6514,46.99,70,56,4.79,broken clouds
186,Takoradi,GH,4.8845,-1.7554,79.3,88,20,8.39,few clouds
187,Sinnamary,GF,5.3833,-52.95,76.35,89,100,5.82,light rain
188,Chinsali,ZM,-10.5414,32.0816,62.2,96,100,4.0,overcast clouds
189,Stokmarknes,NO,68.5646,14.9108,36.0,92,100,5.99,light snow
190,Kirakira,SB,-10.4544,161.9205,82.27,76,83,6.15,light rain
191,Praya,CV,14.9215,-23.5087,71.6,56,0,12.66,clear sky
192,Kandi,BJ,11.1342,2.9386,82.35,54,97,4.32,overcast clouds
193,Freeport,US,40.6576,-73.5832,55.4,94,90,5.75,mist
194,Faanui,PF,-16.4833,-151.75,82.69,72,56,11.27,broken clouds
195,Pergamino,AR,-33.89,-60.5736,57.0,96,99,13.0,overcast clouds
196,Souillac,MU,-20.5167,57.5167,82.4,65,75,12.66,broken clouds
197,Coahuayana,MX,18.7333,-103.6833,67.77,77,42,3.8,scattered clouds
198,Te Anau,NZ,-45.4167,167.7167,54.12,88,75,3.36,broken clouds
199,Mahebourg,MU,-20.4081,57.7,82.4,65,75,12.66,broken clouds
200,Newport,GB,51.5877,-2.9984,37.0,85,96,10.38,overcast clouds
201,San Patricio,US,28.017,-97.5169,71.6,53,1,3.44,clear sky
202,Nome,US,64.5011,-165.4064,12.2,79,90,19.57,light snow
203,Kaliua,TZ,-5.0606,31.7936,66.58,87,93,3.02,overcast clouds
204,Port Elizabeth,ZA,-33.918,25.5701,62.6,100,75,4.61,fog
205,Trimbak,IN,19.9333,73.55,91.47,12,71,6.13,broken clouds
206,Mana,GF,5.6592,-53.7767,76.14,90,100,5.64,moderate rain
207,Yumen,CN,40.2833,97.2,59.38,27,99,16.96,overcast clouds
208,Constantin Daicoviciu,RO,45.55,22.15,50.0,61,0,11.5,clear sky
209,Vangaindrano,MG,-23.35,47.6,78.3,75,8,3.8,clear sky
210,Verkhoyansk,RU,67.5447,133.385,7.25,74,63,5.37,broken clouds
211,Jutai,BR,-5.1833,-68.9,72.18,98,100,0.98,overcast clouds
212,Rawson,AR,-43.3002,-65.1023,59.9,51,46,14.94,scattered clouds
213,Turukhansk,RU,65.8167,87.9833,32.61,100,77,9.86,broken clouds
214,Zhuanghe,CN,39.7008,122.9911,53.73,58,100,11.81,light rain
215,Geraldton,AU,-28.7667,114.6,95.0,34,40,24.16,light rain
216,Esperance,AU,-33.8667,121.9,68.0,52,100,17.27,overcast clouds
217,Amazar,RU,53.858,120.875,28.0,35,98,8.55,overcast clouds
218,Lieksa,FI,63.3167,30.0167,32.02,84,92,13.78,overcast clouds
219,Nanortalik,GL,60.1432,-45.2371,34.7,81,38,10.29,scattered clouds
220,Praia,CV,14.9215,-23.5087,71.6,56,0,12.66,clear sky
221,Saint-Georges,GD,12.0564,-61.7485,77.0,94,40,10.18,scattered clouds
222,Saint-Philippe,RE,-21.3585,55.7679,84.2,65,0,2.3,light rain
223,Plettenberg Bay,ZA,-34.0527,23.3716,63.82,66,96,2.95,overcast clouds
224,Saint-Francois,FR,46.4154,3.9054,48.2,87,0,4.61,clear sky
225,Pitimbu,BR,-7.4706,-34.8086,73.4,100,75,6.91,broken clouds
226,Erenhot,CN,43.6475,111.9767,68.47,17,26,21.32,scattered clouds
227,Nuuk,GL,64.1835,-51.7216,26.6,100,75,12.66,broken clouds
228,Tashkent,UZ,41.2646,69.2163,55.4,41,0,11.5,clear sky
229,Kathmandu,NP,27.7167,85.3167,82.4,18,20,4.61,few clouds
230,Qaqortoq,GL,60.7167,-46.0333,33.8,80,75,3.44,broken clouds
231,Gornopravdinsk,RU,60.05,69.9,42.22,91,100,12.28,overcast clouds
232,Chicama,PE,-7.8447,-79.1469,70.0,84,99,4.05,overcast clouds
233,Sitka,US,57.0531,-135.33,33.8,69,75,3.44,broken clouds
234,Straumen,NO,63.8709,11.2999,37.0,69,75,2.3,light snow
235,Puerto Madero,MX,14.7208,-92.4215,80.22,73,9,8.01,clear sky
236,Ongandjera,NA,-17.8833,15.0667,65.46,45,5,8.97,clear sky
237,Changji,CN,44.0167,87.3167,55.4,26,20,4.47,few clouds
238,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.0,87,83,7.0,light rain
239,Hamilton,US,39.1834,-84.5333,55.0,82,1,8.05,clear sky
240,Safford,US,32.834,-109.7076,62.6,14,1,8.05,clear sky
241,Aklavik,CA,68.2191,-135.0107,-5.8,64,20,5.75,few clouds
242,Talara,PE,-4.5772,-81.2719,70.63,82,72,11.92,broken clouds
243,Pisco,PE,-13.7,-76.2167,68.0,77,0,4.61,clear sky
244,Saint-Joseph,RE,-21.3667,55.6167,84.2,65,0,2.3,clear sky
245,Angoche,MZ,-16.2325,39.9086,80.19,80,100,8.9,light rain
246,Athabasca,CA,54.7169,-113.2854,26.6,86,91,13.8,light snow
247,Sai Buri,TH,6.7013,101.6168,87.8,70,20,10.36,few clouds
248,Taoudenni,ML,22.6783,-3.9836,76.41,19,0,7.85,clear sky
249,Bontang,ID,0.1333,117.5,85.8,68,85,7.85,overcast clouds
250,Ayan,RU,56.45,138.1667,31.57,72,78,5.66,broken clouds
251,Rundu,NA,-17.9333,19.7667,61.39,52,0,5.7,clear sky
252,Moree,AU,-29.4667,149.85,68.0,26,0,21.85,clear sky
253,Bonavista,CA,48.6499,-53.1147,36.0,100,100,3.44,light rain
254,Tibiri,NE,13.5627,7.0485,78.78,7,87,7.07,overcast clouds
255,Yerbogachen,RU,61.2767,108.0108,22.98,58,3,6.31,clear sky
256,Port Hardy,CA,50.6996,-127.4199,41.0,86,20,6.91,few clouds
